Thu Nov 21 18:34:58 2019	Console set COMPLΞX's money to $5,555,555,555
Thu Nov 21 18:35:12 2019	COMPLΞX (STEAM_0:0:105635721) disconnected
Thu Nov 21 18:35:20 2019	COMPLΞX (STEAM_0:0:105635721) has joined the game
Thu Nov 21 18:35:20 2019	COMPLΞX (STEAM_0:0:105635721) spawned
Thu Nov 21 18:36:32 2019	COMPLΞX (STEAM_0:0:105635721) disconnected
Thu Nov 21 18:36:41 2019	COMPLΞX (STEAM_0:0:105635721) has joined the game
Thu Nov 21 18:36:41 2019	COMPLΞX (STEAM_0:0:105635721) spawned
Thu Nov 21 18:38:05 2019	COMPLΞX (STEAM_0:0:105635721) disconnected
Thu Nov 21 18:38:13 2019	COMPLΞX (STEAM_0:0:105635721) has joined the game
Thu Nov 21 18:38:14 2019	COMPLΞX (STEAM_0:0:105635721) spawned
Thu Nov 21 18:39:00 2019	COMPLΞX (STEAM_0:0:105635721) disconnected
Thu Nov 21 18:39:08 2019	COMPLΞX (STEAM_0:0:105635721) has joined the game
Thu Nov 21 18:39:08 2019	COMPLΞX (STEAM_0:0:105635721) spawned
Thu Nov 21 18:40:11 2019	COMPLΞX (STEAM_0:0:105635721) disconnected
Thu Nov 21 18:40:19 2019	COMPLΞX (STEAM_0:0:105635721) has joined the game
Thu Nov 21 18:40:19 2019	COMPLΞX (STEAM_0:0:105635721) spawned
Thu Nov 21 18:41:07 2019	COMPLΞX (STEAM_0:0:105635721) disconnected
Thu Nov 21 18:41:16 2019	COMPLΞX (STEAM_0:0:105635721) has joined the game
Thu Nov 21 18:41:16 2019	COMPLΞX (STEAM_0:0:105635721) spawned
Thu Nov 21 18:42:40 2019	COMPLΞX (STEAM_0:0:105635721) disconnected
Thu Nov 21 18:42:49 2019	COMPLΞX (STEAM_0:0:105635721) has joined the game
Thu Nov 21 18:42:49 2019	COMPLΞX (STEAM_0:0:105635721) spawned
Thu Nov 21 18:45:51 2019	COMPLΞX (STEAM_0:0:105635721) disconnected
