L 05/22/2020 - 00:19:58: Log file started (file "logs\L0522000.log") (game "D:\sup\steamapps\common\GarrysModDS\garrysmod") (version "7836")
L 05/22/2020 - 00:19:58: server_cvar: "sv_alltalk" "3"
L 05/22/2020 - 00:19:59: Connection to Steam servers successful.
L 05/22/2020 - 00:19:59:    Public IP is 31.130.42.26.
L 05/22/2020 - 00:19:59: Assigned anonymous gameserver Steam ID [A-1:3594668032(14778)].
L 05/22/2020 - 00:20:00: VAC secure mode is activated.
L 05/22/2020 - 00:20:02: "DidVaitel<2><STEAM_0:1:74202541><>" connected, address "192.168.31.1:27006"
L 05/22/2020 - 00:20:02: "DidVaitel<2><STEAM_0:1:74202541><>" STEAM USERID validated
L 05/22/2020 - 00:20:06: "DidVaitel<2><STEAM_0:1:74202541><>" entered the game
L 05/22/2020 - 00:20:22: "Bot01<3><BOT><>" connected, address "none"
L 05/22/2020 - 00:20:22: "Bot01<3><BOT><>" entered the game
L 05/22/2020 - 00:20:23: "Bot02<4><BOT><>" connected, address "none"
L 05/22/2020 - 00:20:23: "Bot02<4><BOT><>" entered the game
L 05/22/2020 - 00:20:24: "Bot03<5><BOT><>" connected, address "none"
L 05/22/2020 - 00:20:24: "Bot03<5><BOT><>" entered the game
L 05/22/2020 - 00:20:24: "Bot04<6><BOT><>" connected, address "none"
L 05/22/2020 - 00:20:24: "Bot04<6><BOT><>" entered the game
L 05/22/2020 - 00:20:24: "Bot05<7><BOT><>" connected, address "none"
L 05/22/2020 - 00:20:24: "Bot05<7><BOT><>" entered the game
L 05/22/2020 - 00:20:24: "Bot06<8><BOT><>" connected, address "none"
L 05/22/2020 - 00:20:24: "Bot06<8><BOT><>" entered the game
L 05/22/2020 - 00:20:25: "Bot07<9><BOT><>" connected, address "none"
L 05/22/2020 - 00:20:25: "Bot07<9><BOT><>" entered the game
L 05/22/2020 - 00:20:25: "Bot08<10><BOT><>" connected, address "none"
L 05/22/2020 - 00:20:25: "Bot08<10><BOT><>" entered the game
L 05/22/2020 - 00:20:25: "Bot09<11><BOT><>" connected, address "none"
L 05/22/2020 - 00:20:25: "Bot09<11><BOT><>" entered the game
L 05/22/2020 - 00:20:26: "Bot10<12><BOT><>" connected, address "none"
L 05/22/2020 - 00:20:26: "Bot10<12><BOT><>" entered the game
L 05/22/2020 - 00:20:26: "Bot11<13><BOT><>" connected, address "none"
L 05/22/2020 - 00:20:26: "Bot11<13><BOT><>" entered the game
L 05/22/2020 - 00:20:26: "Bot12<14><BOT><>" connected, address "none"
L 05/22/2020 - 00:20:26: "Bot12<14><BOT><>" entered the game
L 05/22/2020 - 00:20:26: "Bot13<15><BOT><>" connected, address "none"
L 05/22/2020 - 00:20:26: "Bot13<15><BOT><>" entered the game
L 05/22/2020 - 00:20:27: "Bot14<16><BOT><>" connected, address "none"
L 05/22/2020 - 00:20:27: "Bot14<16><BOT><>" entered the game
L 05/22/2020 - 00:20:27: "Bot15<17><BOT><>" connected, address "none"
L 05/22/2020 - 00:20:27: "Bot15<17><BOT><>" entered the game
L 05/22/2020 - 00:20:29: "Bot16<18><BOT><>" connected, address "none"
L 05/22/2020 - 00:20:29: "Bot16<18><BOT><>" entered the game
