L 07/09/2020 - 18:02:04: Log file started (file "logs\L0709022.log") (game "D:\sup\steamapps\common\GarrysModDS\garrysmod") (version "7836")
L 07/09/2020 - 18:02:04: server_cvar: "sv_alltalk" "3"
L 07/09/2020 - 18:02:04: server_cvar: "sv_airaccelerate" "100"
L 07/09/2020 - 18:02:05: Connection to Steam servers successful.
L 07/09/2020 - 18:02:05:    Public IP is 31.130.42.26.
L 07/09/2020 - 18:02:05: Assigned anonymous gameserver Steam ID [A-1:2737906696(15119)].
L 07/09/2020 - 18:02:06: VAC secure mode is activated.
L 07/09/2020 - 18:02:09: "COMPLΞX<2><STEAM_0:0:105635721><>" connected, address "26.162.207.202:27006"
L 07/09/2020 - 18:02:10: "eLeCtrOssSnake<3><STEAM_0:1:164666257><>" connected, address "212.66.63.39:27006"
L 07/09/2020 - 18:02:10: "COMPLΞX<2><STEAM_0:0:105635721><>" STEAM USERID validated
L 07/09/2020 - 18:02:10: "eLeCtrOssSnake<3><STEAM_0:1:164666257><>" STEAM USERID validated
L 07/09/2020 - 18:02:24: "eLeCtrOssSnake<3><STEAM_0:1:164666257><>" entered the game
L 07/09/2020 - 18:02:24: "COMPLΞX<2><STEAM_0:0:105635721><>" entered the game
L 07/09/2020 - 18:03:21: "Bot01<4><BOT><>" connected, address "none"
L 07/09/2020 - 18:03:21: "Bot01<4><BOT><>" entered the game
L 07/09/2020 - 18:03:21: "Bot02<5><BOT><>" connected, address "none"
L 07/09/2020 - 18:03:21: "Bot02<5><BOT><>" entered the game
L 07/09/2020 - 18:03:21: "Bot03<6><BOT><>" connected, address "none"
L 07/09/2020 - 18:03:21: "Bot03<6><BOT><>" entered the game
L 07/09/2020 - 18:03:21: "Bot04<7><BOT><>" connected, address "none"
L 07/09/2020 - 18:03:21: "Bot04<7><BOT><>" entered the game
L 07/09/2020 - 18:03:21: "Bot05<8><BOT><>" connected, address "none"
L 07/09/2020 - 18:03:21: "Bot05<8><BOT><>" entered the game
L 07/09/2020 - 18:03:21: "Bot06<9><BOT><>" connected, address "none"
L 07/09/2020 - 18:03:21: "Bot06<9><BOT><>" entered the game
L 07/09/2020 - 18:03:21: "Bot07<10><BOT><>" connected, address "none"
L 07/09/2020 - 18:03:21: "Bot07<10><BOT><>" entered the game
