L 09/29/2019 - 17:22:26: Log file started (file "logs\L0929004.log") (game "F:\sup\steamapps\common\GarrysModDS\garrysmod") (version "7517")
L 09/29/2019 - 17:22:26: server_cvar: "sv_alltalk" "3"
L 09/29/2019 - 17:22:27: Connection to Steam servers successful.
L 09/29/2019 - 17:22:27:    Public IP is 31.130.42.47.
L 09/29/2019 - 17:22:27: Assigned anonymous gameserver Steam ID [A-1:3031208965(13379)].
L 09/29/2019 - 17:22:27: VAC secure mode is activated.
L 09/29/2019 - 17:22:31: "DidVaitel<2><STEAM_0:1:74202541><>" connected, address "26.64.99.216:27006"
L 09/29/2019 - 17:22:31: "DidVaitel<2><STEAM_0:1:74202541><>" STEAM USERID validated
L 09/29/2019 - 17:22:41: "DidVaitel<2><STEAM_0:1:74202541><>" entered the game
L 09/29/2019 - 17:23:22: "eLeCtrOssSnake<3><STEAM_0:1:164666257><>" connected, address "212.66.63.29:27005"
L 09/29/2019 - 17:23:22: "eLeCtrOssSnake<3><STEAM_0:1:164666257><>" STEAM USERID validated
L 09/29/2019 - 17:23:42: "eLeCtrOssSnake<3><STEAM_0:1:164666257><>" entered the game
L 09/29/2019 - 17:26:08: "DidVaitel<2><STEAM_0:1:74202541><>" disconnected (reason "Disconnect by user.")
L 09/29/2019 - 17:26:08: "DidVaitel<4><STEAM_0:1:74202541><>" connected, address "26.64.99.216:27006"
L 09/29/2019 - 17:26:09: "DidVaitel<4><STEAM_0:1:74202541><>" STEAM USERID validated
L 09/29/2019 - 17:26:12: "DidVaitel<4><STEAM_0:1:74202541><>" entered the game
L 09/29/2019 - 17:26:23: "safe arrioal<5><STEAM_0:0:215912381><>" connected, address "117.188.22.5:5228"
L 09/29/2019 - 17:26:23: "safe arrioal<5><STEAM_0:0:215912381><>" STEAM USERID validated
L 09/29/2019 - 17:26:43: "safe arrioal<5><STEAM_0:0:215912381><>" entered the game
L 09/29/2019 - 17:27:16: "safe arrioal<5><STEAM_0:0:215912381><>" disconnected (reason "Disconnect by user.")
L 09/29/2019 - 17:31:54: "DidVaitel<4><STEAM_0:1:74202541><>" disconnected (reason "Disconnect by user.")
L 09/29/2019 - 17:31:55: "DidVaitel<6><STEAM_0:1:74202541><>" connected, address "26.64.99.216:27006"
L 09/29/2019 - 17:31:55: "DidVaitel<6><STEAM_0:1:74202541><>" STEAM USERID validated
L 09/29/2019 - 17:31:59: "DidVaitel<6><STEAM_0:1:74202541><>" entered the game
L 09/29/2019 - 17:33:17: "eLeCtrOssSnake<3><STEAM_0:1:164666257><>" disconnected (reason "Disconnect by user.")
L 09/29/2019 - 17:33:17: "DidVaitel<6><STEAM_0:1:74202541><>" disconnected (reason "Disconnect by user.")
L 09/29/2019 - 17:33:18: "DidVaitel<7><STEAM_0:1:74202541><>" connected, address "26.64.99.216:27006"
L 09/29/2019 - 17:33:18: "eLeCtrOssSnake<8><STEAM_0:1:164666257><>" connected, address "212.66.63.29:27005"
L 09/29/2019 - 17:33:18: "DidVaitel<7><STEAM_0:1:74202541><>" STEAM USERID validated
L 09/29/2019 - 17:33:18: "eLeCtrOssSnake<8><STEAM_0:1:164666257><>" STEAM USERID validated
